filename,locale,voice,text
000311e068975a1c.mp3,de-DE,de-DE-KatjaNeural,drohen
00060e2d4f52b907.mp3,de-DE,de-DE-KatjaNeural,persönlich
00089e57f06e992a.mp3,de-DE,de-DE-KatjaNeural,Ich habe gute Erinnerungen an meine Kindheit.
0009a00ef7f93ade.mp3,de-DE,de-DE-KatjaNeural,tanzen
000cb8dbfdcd7ce7.mp3,de-DE,de-DE-KatjaNeural,"der Pauschalurlaub, -e"
0022a07e7b04bd6c.mp3,de-DE,de-DE-KatjaNeural,"das Bauunternehmen, -"
0034f47fa0bf7d5a.mp3,de-DE,de-DE-KatjaNeural,"Kfz-Haftpflichtversicherung, die, -en"
0037d7438dee6e3b.mp3,de-DE,de-DE-KatjaNeural,Der Stuhl ist aus Holz.
00392e691d8ee1f6.mp3,de-DE,de-DE-KatjaNeural,Die Rechtsform ist wichtig.
0040375ba7ebd0bb.mp3,de-DE,de-DE-KatjaNeural,"Fahrpreis, der, -e"
0047c3e9256e050b.mp3,de-DE,de-DE-KatjaNeural,Deutschland ist ein Land in Europa.
00494c49b6f39f60.mp3,de-DE,de-DE-KatjaNeural,"die Passagierin, -nen"
004eb86c51906463.mp3,de-DE,de-DE-KatjaNeural,nachgiebig
0053db1079f55910.mp3,de-DE,de-DE-KatjaNeural,Wir gehen gemeinsam ins Kino.
0054c5441a4d2a99.mp3,de-DE,de-DE-KatjaNeural,Die Tomate ist rot.
005db4146a10fa18.mp3,de-DE,de-DE-KatjaNeural,"die Köchin, -nen"
0065954a81724d96.mp3,de-DE,de-DE-KatjaNeural,verbrachte
0086555483dbdc17.mp3,de-DE,de-DE-KatjaNeural,Wir haben ein Gewitter bekommen.
008d91ce313744af.mp3,de-DE,de-DE-KatjaNeural,etwas entfernen
0092e7987ece5f67.mp3,de-DE,de-DE-KatjaNeural,"der Kühlschrank, -e"
0096ab1a65b2c3f5.mp3,de-DE,de-DE-KatjaNeural,Er sichert die Familie finanziell ab.
009ce24bf9f88645.mp3,de-DE,de-DE-KatjaNeural,Ich sehe die Klage.
